R526528,R842707
R995346,R718840
R387563,R157980
R292060,R962644
R326936,R286587
R265171,R510464
R551921,R785357
R835370,R236143
R502470,R107707
R610464,R935151
R206652,R428504
R426809,R718169
R696196,R424696
R490247,R349696
R920188,R779584
R505051,R615727
R447672,R415124
R617567,R101960
R958884,R862759
R418891,R408635
R440716,R885803
R803784,R843732
R976755,R817503
R277579,R287943
R158602,R965362
R557986,R579257
R656435,R752033
R994763,R391102
R617051,R163991
R253995,R770014
R342131,R133687
R628370,R864340
R293015,R994416
R945480,R215930
R938746,R873591
R478084,R812521
R699259,R119653
R647172,R928921
R498390,R100320
R538638,R874162
R442297,R511064
R970018,R884252
R440988,R930337
R783871,R313551
R408064,R498081
R974161,R228061
R868072,R697638
R656960,R827051
R974730,R517912
R281203,R213401
R852277,R965141
R299030,R495475
R528494,R802127
R710554,R456700
R196744,R803730
R589151,R396428
R370366,R943235
R725791,R462299
R741225,R475677
R430789,R512468
R818502,R721510
R994249,R375042
R921416,R387375
R405590,R220333
R409546,R229028
R223781,R818686
R971866,R857514
R985993,R477713
R108780,R204719
R531648,R415044
R339775,R422672
R401268,R850615
R575409,R477941
R895870,R101882
R868427,R273852
R962654,R985438
R806904,R866472
R714685,R294868
R555955,R888305
R329816,R385502
R965390,R480521
R165376,R661546
R215690,R970686
R985060,R382343
R385352,R519028
R551981,R876626
R274555,R197189
R702265,R893868
R121965,R424496
R575129,R773151
R480015,R527235
R997912,R930057
R129927,R454081
R161509,R530519
R165763,R745912
R403728,R419452
R493290,R745921
R888260,R510181
R260660,R492602
R987827,R167515
R974689,R832264
R732126,R102566
R606552,R161778
R544728,R458637
R968093,R678221
R742306,R787066
R770952,R633354
R459819,R668919
R269892,R913424
R648248,R712987
R530759,R118493
R732211,R486177
R694849,R338690
R433516,R740239
R197132,R699370
R329874,R382004
R125029,R692872
R658360,R954064
R689649,R148348
R769135,R582145
R604026,R346688
R912962,R578786
R904371,R624670
R186327,R912718
R147222,R656158
R853401,R388164
R840957,R871928
R776274,R807896
R335104,R948614
R649686,R124505
R108201,R582799
R469532,R731133
R612053,R221359
R850443,R306638
R503848,R662110
R435217,R590574
R799597,R804588
R800894,R580472
R429968,R385713
R316907,R355978
R787310,R612754
R560026,R790091
R495756,R518271
R559702,R905777
R172372,R186600
R172448,R854493
R629494,R387796
R150449,R746522
R799154,R109661
R776015,R911505
R231121,R288545
R337324,R251126
R255842,R804354
R166684,R205103
R257166,R132669
R932552,R641359
R530483,R543084
R817609,R872326
R190870,R496543
R877778,R498012
R470166,R812042
R222525,R277009
R905213,R663278
R827080,R621926
R786463,R109520
R474123,R475062
R256505,R205289
R324195,R275893
R376161,R894562
R695675,R958066
R608944,R830590
R943061,R294684
R108809,R395020
R229130,R483023
R674968,R751722
R134672,R531494
R288524,R295205
R549480,R337260
R140838,R338987
R975835,R905647
R663771,R222493
R315835,R827201
R633558,R479822
R473547,R402980
R308077,R674212
R152313,R163602
R253510,R109093
R650541,R300462
R722100,R278008
R476738,R490444
R890672,R865874
R888337,R551651
R255234,R856890
R484465,R784294
R399037,R383573
R640171,R190333
R950069,R634486
R930097,R367303
R780224,R532727
R993081,R803797
R775611,R479456
R944280,R527578
R593885,R153970
R161969,R641183
R769379,R494284
R778731,R297903
R286342,R702190
R908199,R610093
R212678,R201202
R339224,R338499
R659078,R320875
R327352,R455511
R605892,R356287
R151420,R243666
R326203,R803007
R436485,R336841
R137483,R837008
R244830,R524476
R178179,R445032
R320500,R508477
R745209,R577535
R797850,R703841
R228888,R418099
R648231,R625818
R312185,R156007
R993861,R303766
R791794,R387212
R850144,R373536
R886358,R649547
R972958,R478164
R606214,R645814
R172578,R887576
R386272,R560699
R654398,R597840
R689145,R734207
R418919,R107336
R983616,R460089
R986725,R445515
R794725,R567963
R635281,R908378
R952330,R922713
R380204,R141978
R954429,R975855
R444171,R151868
R171370,R768751
R175895,R772446
R475197,R599343
R455422,R818163
R373097,R139677
R496176,R421212
R330398,R250724
R996661,R650975
R723370,R804937
R748059,R429739
R443251,R587762
R437362,R451087
R539538,R168482
R529015,R818126
R697529,R949042
R317400,R289373
R895780,R555139
R928107,R693707
R870900,R831144
R301785,R707934
R960967,R311446
R257922,R711169
R812638,R288645
R875818,R578641
R194559,R777877
R197811,R837655
R881733,R544801
R730787,R802898
R986420,R912424
R522961,R975495
R819421,R393782
R209407,R874046
R128552,R938560
R710846,R540584
R712275,R520539
R980945,R734002
R511090,R780352
R809099,R285194
R172685,R132850
R517342,R587636
R434120,R811808
R528549,R850916
R635733,R384330
R670945,R246582
R109914,R796012
R648796,R545412
R340576,R138842
R887355,R449812
R979638,R162683
R705789,R644707
R373190,R493895
R108272,R689195
R279374,R393110
R528813,R220925
R808202,R893359
R357164,R678026
R314903,R720494
R835053,R167134
R694298,R413279
R759949,R230742
R229984,R149979
R733332,R134341
R246269,R914193
R749073,R568279
R992039,R369480
R754686,R943910
R809569,R704539
R364539,R873273
R730615,R245503
R400118,R279494
R255659,R767314
R197445,R167952
R427794,R688991
R676839,R272454
R997286,R391866
R599360,R384315
R181969,R253372
R857011,R505335
R968935,R750150
R429679,R394980
R539384,R869987
R581264,R997278
R176024,R846015
R740613,R422055
R850428,R108187
R221777,R504768
R524610,R492243
R418594,R258258
R763444,R311310
R261969,R768713
R502378,R545522
R546617,R653156
R392497,R342123
R337894,R559326
R229429,R241384
R389985,R640586
R651064,R909416
R628179,R724242
R172613,R217939
R270375,R610596
R490884,R838720
R699753,R879478
R323559,R500122
R786024,R422777
R968461,R388918
R493188,R304371
R183018,R472644
R776081,R562508
R582992,R388030
R661593,R847382
R930836,R607110
R573525,R975265
R465531,R376047
R153274,R214163
R902093,R135702
R219772,R594701
R557104,R498609
R561560,R901723
R664366,R887050
R781782,R404711
R239280,R717872
R102593,R800632
R367037,R466746
R231245,R336416
R349709,R985731
R354289,R591018
R778085,R737918
R146995,R742581
R363603,R654571
R688095,R961348
R308410,R229387
R877505,R727042
R298123,R158578
R767101,R726130
R127084,R818498
R521242,R864791
R541867,R716612
R761142,R703876
R884423,R404104
R111045,R945089
R678867,R767179
R977474,R254269
R777729,R634427
R129468,R431883
R820273,R873774
R648387,R960525
R947962,R878071
R675120,R574463
R291762,R914311
R837734,R870213
R515668,R554743
R418583,R541157
R689215,R282052
R407524,R257655
R306092,R567120
R962230,R390696
R516092,R417447
R777739,R116899
R781171,R114514
R587350,R471132
R414997,R515060
R997280,R139586
R813213,R102260
R676282,R293472
R305265,R825519
R403871,R795641
R595854,R157809
R310432,R505304
R541536,R143713
R158248,R793036
R302914,R341850
R489996,R566430
R747979,R446231
R937555,R390327
R876056,R995551
R766287,R491076
R915783,R149462
R997354,R868254
R887444,R752964
R567103,R884338
R798084,R886713
R644232,R631540
R173586,R480429
R856100,R337249
R342430,R565553
R647888,R853178
R563254,R777223
R908755,R766463
R160402,R803085
R728975,R901686
R876095,R410847
R936474,R113490
R595530,R990521
R744528,R666724
R525982,R355817
R509202,R679288
R103019,R662429
R687051,R204914
R164467,R591285
R581503,R421778
R295033,R642763
R187334,R152874
R973364,R764404
R813429,R545032
R663944,R488722
R238841,R339555
R311972,R300413
R475880,R236283
R165448,R207109
R433832,R252925
R361084,R453515
R667735,R580116
R728119,R752301
R677779,R381401
R463593,R135057
R451665,R593773
R640382,R103529
R788023,R291604
R494027,R756129
R505850,R389326
R663417,R446806
R204994,R887847
R961586,R156543
R893333,R372860
R778254,R844803
R248138,R667328
R650216,R978497
R937531,R163133
R418296,R115131
R614073,R479346
R891405,R274130
R301819,R555755
R339472,R520555
R589358,R875260
R935804,R759903
R151469,R659899
R715320,R404343
R664305,R613818
R426866,R687128
R478487,R631777
R827735,R767665
R552679,R854399
R910624,R866212
R728185,R196225
R112780,R901495
R862084,R149843
R633960,R363202
R453997,R775181
R432599,R514775
R829455,R104232
R948862,R539596
R145641,R751764
R170653,R821550
R596028,R891368
R598447,R130325
R231802,R556825
R565314,R782344
R903476,R256485
R570471,R409916
R669933,R854182
R823362,R904168
R848422,R289969
R947999,R674007
R686822,R508161
R650938,R206585
R912715,R560275
R724556,R290441
R200941,R237570
R881183,R465281
R212408,R161910
R475927,R592607
R928357,R412970
R564521,R576971
R715881,R441991
R954812,R595983
R495180,R335507
R705606,R469922
R698751,R390974
R922862,R997560
R527653,R350231
R198852,R854437
R408059,R201897
R940146,R223913
R373474,R497247
R895768,R298445
R418326,R640200
R305166,R587766
R282502,R431151
R473016,R256334
R306262,R278811
R222759,R248003
R787251,R845263
R244780,R827899
R482033,R845400
R605603,R577511
R131878,R686915
R866967,R725491
R164179,R691554
R896921,R726113
R181228,R514370
R763200,R876647
R207305,R264106
R301905,R738033
R462514,R120081
R261795,R577618
R855397,R419793
R835361,R109006
R149314,R368062
R933468,R271822
R179300,R471922
R324373,R565704
R250330,R781665
R276615,R380980
R601037,R375348
R371305,R281030
R938232,R224966
R506700,R297994
R646556,R912733
R968046,R741423
R441534,R815229
R214310,R866927
R784511,R950024
R169566,R155072
R545274,R965055
R740425,R376054
R423935,R630515
R114334,R861301
R987736,R356662
R148227,R169052
R883141,R322074
R398310,R226239
R497394,R668838
R413519,R185245
R423973,R947994
R480594,R140664
R950464,R905584
R402639,R907948
R918198,R741227
R337963,R113055
R756028,R349510
R572664,R137012
R559831,R598579
R700984,R324062
R149724,R789718
R642620,R346344
R534529,R280755
R894429,R391890
R282295,R902572
R608588,R282345
R444570,R651719
R390739,R177644
R919989,R298843
R358837,R272345
R454869,R236497
R339893,R450140
R466391,R523427
R847716,R580431
R938662,R762373
R616962,R422338
R913048,R736801
R363182,R963877
R798938,R888590
R250947,R683361
R470223,R130692
R614320,R414049
R778082,R570831
R353533,R677051
R390005,R491458
R131069,R106149
R684027,R894528
R401667,R211628
R271929,R810512
R783662,R579007
R120853,R529587
R650738,R847189
R244811,R545438
R529863,R367496
R636900,R285210
R892673,R124440
R602041,R255344
R246368,R826782
R744595,R773033
R794345,R150381
R511981,R953559
R131486,R999451
R284954,R464601
R466706,R151356
R759683,R937153
R923187,R765153
R547760,R916979
R326090,R182646
R232478,R935534
R500232,R450763
R924829,R152109
R155963,R719267
R101815,R362625
R495442,R128805
R542762,R847738
R856009,R530435
R544663,R311071
R290359,R275681
R100528,R310051
R966028,R933616
R476398,R265414
R555815,R664837
R535377,R680917
R992981,R106468
R552552,R715800
R355396,R344892
R118393,R255407
R571193,R322633
R919720,R387022
R287598,R744112
R532539,R444719
R620394,R530619
R516062,R670734
R241433,R901236
R405941,R834621
R842359,R676029
R930426,R345868
R223160,R667754
R438386,R575855
R132612,R296695
R655068,R344269
R688687,R765428
R341610,R861178
R509018,R265477
R881671,R691668
R375868,R917058
R694769,R986992
R664923,R804856
R328726,R455576
R931193,R711148
R410385,R125438
R253165,R226607
R212026,R182458
R873112,R847704
R378087,R984665
R716422,R532065
R935413,R536521
R343950,R938723
R100476,R147015
R526854,R637403
R137999,R575561
R294061,R707085
R101045,R576970
R577040,R211590
R786195,R151729
R298182,R492153
R609923,R938945
R924272,R241525
R186161,R738276
R904923,R281529
R521270,R324993
R857298,R788770
R622849,R866532
R675484,R185170
R903115,R346121
R860682,R539251
R609407,R176899
R360139,R132119
R130447,R582662
R302738,R829110
R930193,R345664
R647286,R359605
R920513,R225625
R888687,R622872
R865969,R214913
R440472,R927652
R581417,R419513
R197065,R437451
R345474,R782379
R166780,R727283
R166685,R186508
R996434,R238344
R539323,R917558
R341562,R583659
R406346,R390478
R581798,R217974
R198151,R571383
R217867,R783737
R151674,R704435
R356721,R919128
R215552,R146537
R921740,R624613
R515975,R880181
R429422,R216059
R544516,R110980
R476617,R898814
R490504,R113112
R956599,R781646
R369330,R579853
R775311,R522959
R649078,R202841
R446259,R294225
R915306,R322150
R266244,R992003
R140400,R756034
R784989,R469745
R460963,R532982
R327834,R329984
R650632,R234404
R347877,R699487
R231017,R606952
R744706,R178008
R558627,R193980
R770174,R625276
R389651,R683351
R739652,R837408
R221296,R148038
R730508,R671368
R112135,R330209
R994112,R589198
R805672,R628216
R802353,R924476
R530022,R729784
R372928,R896108
R573858,R789963
R955542,R458406
R197331,R610716
R115314,R157191
R697372,R382092
R124454,R271210
R766730,R238074
R908129,R308786
R244069,R610553
R874932,R131318
R114536,R242963
R504873,R430707
R656383,R197944
R886822,R331079
R559008,R493636
R189428,R693057
R855122,R837457
R703967,R574177
R785336,R112405
R936402,R571746
R589623,R221942
R725354,R245980
R314479,R931836
R271879,R410074
R576555,R735890
R705108,R642907
R887588,R922407
R175078,R917824
R178048,R952510
R405576,R393358
R318435,R220352
R397912,R320965
R135006,R332490
R146279,R301179
R580647,R396439
R844695,R699693
R849884,R993873
R520573,R426925
R495100,R344501
R581766,R137607
R334485,R106345
R926373,R549574
R959291,R639758
R839701,R878780
R948085,R503647
R586952,R310099
R203323,R464379
R822452,R593378
R578412,R236686
R152437,R977212
R278161,R681329
R660362,R399957
R267192,R139602
R921731,R771553
R321216,R412206
R842744,R362933
R596077,R839452
R434109,R734342
R396716,R363889
R156462,R133339
R340614,R202885
R301055,R628488
R271506,R136895
R123736,R191961
R451723,R899350
R837894,R672231
R855525,R171703
R774135,R610736
R696169,R398974
R615755,R728929
R621140,R876558
R617994,R915333
R188806,R920549
R341154,R109710
R705344,R382861
R517534,R439509
R722316,R448587
R744536,R981561
R411102,R429475
R281518,R438349
R308952,R580616
R903792,R953049
R694345,R259424
R647729,R736703
R278867,R745459
R485433,R170923
R144103,R393538
R517331,R732025
R811282,R756202
R346047,R665109
R588253,R291665
R787439,R493066
R761905,R847747
R114469,R780963
R102023,R898034
R118774,R236205
R174225,R823996
R476996,R413011
R753627,R433555
R492005,R956602
R156128,R411084
R956569,R668210
R232219,R977566
R715411,R290295
R704725,R753450
R854275,R185813
R187040,R118895
R645201,R732906
R420074,R322546
R315309,R173704
R359545,R509544
R379814,R272723
R736065,R160579
R683753,R748268
R276917,R452345
R768431,R812345
R391862,R191615
R683762,R317827
R274854,R905340
R630556,R622999
R757972,R185177
R282348,R153799
R768131,R562322
R584606,R240396
R868418,R160588
R685875,R580504
R962753,R404479
R268209,R877639
R709712,R683404
R172781,R851145
R638763,R320452
R144928,R133847
R584046,R482968
R691716,R932485
R112168,R586761
R516074,R965031
R749596,R647553
R717761,R593563
R166701,R952564
R150320,R403619
R477660,R765434
R662139,R102706
R282396,R667886
R469949,R535526
R712782,R926215
R858632,R805356
R389450,R679018
R401548,R153450
R212502,R633907
R895363,R622417
R928527,R558866
R427535,R866473
R837792,R267171
R238321,R501870
R194309,R931742
R182747,R618652
R666920,R104835
R503401,R758754
R414428,R980675
R905257,R272048
R993042,R897083
R783739,R775240
R440900,R457724
R290713,R354625
R229017,R278680
R579900,R985239
R109070,R550974
R842276,R951235
R338758,R184156
R546105,R400781
R118484,R375322
R381424,R660598
R472745,R767796
R161205,R160483
R440457,R643705
R901144,R923998
R928154,R216547
R699057,R574153
R379770,R352764
R287478,R403500
R823926,R916391
R216681,R178781
R142014,R965241
R213102,R211351
R278795,R381969
R704433,R238822
R912219,R299689
R165657,R720655
R410637,R203462
R314215,R681000
R102216,R734728
R266726,R874582
R575105,R543024
R516213,R390069
R368767,R770985
R507093,R922230
R969157,R460610
R968057,R117806
R463990,R657191
R943256,R484690
R988604,R833613
R302361,R994456
R262725,R568609
R570978,R946975
R120591,R234801
R959190,R608825
R590581,R871470
R668453,R411567
R289591,R325722
R564915,R609803
R494098,R500673
R872861,R852632
R983845,R339323
R524885,R619219
R936312,R289698
R667385,R364473
R405970,R436505
R538842,R931918
R301864,R285411
R659853,R711709
R759307,R391594
R899191,R643343
R386156,R507733
R611697,R762946
R367349,R580418
R356112,R313258
R568661,R446739
R407708,R403933
R918712,R659426
R349545,R217967
R583516,R222538
R504663,R330843
R245962,R999263
R180062,R545476
R569028,R452302
R553415,R205751
R316773,R251309
R709423,R694117
R273762,R726804
R916247,R528743
R644960,R464524
R837315,R783761
R459386,R210489
R159657,R781659
R835202,R704143
R532243,R450309
R608625,R136484
R129354,R416809
R468429,R520390
R649437,R397546
R527450,R340397
R417439,R569989
R267731,R370212
R312108,R344186
R785315,R983105
R961018,R369043
R451036,R859480
R150632,R151375
R140676,R838483
R634620,R938512
R722012,R342927
R704503,R997526
R765971,R808597
R724007,R687394
R865905,R978705
R221148,R170251
R367270,R394626
R200982,R778587
R476814,R880304
R204616,R917929
R929437,R839471
R607694,R993451
R406501,R121606
R719773,R982716
R645035,R661172
R290950,R800206
R348269,R662884
R999662,R294430
R964872,R153297
R233280,R988641
R113651,R565014
R656104,R810806
R390259,R255673
R753272,R680245
R294483,R712361
R740590,R111805
R480561,R723389
R727377,R597144
R203553,R329515
R450270,R377988
R171609,R962019
R143306,R208371
R423211,R899364
R264760,R927110
R537583,R318592
R241302,R917309
R547820,R322158
R312386,R605355
R661744,R913651
R178667,R659630
R622311,R856138
R934945,R441602
R939384,R717560
R106919,R839842
R852055,R991404
R860414,R550284
R675265,R212146
R565643,R798242
R708255,R352250
R535315,R288558
R613601,R804533
R720916,R122505
R505457,R490120
R785468,R560053
R882935,R563552
R457413,R439752
R940719,R848117
R666897,R817020
R915900,R534821
R178337,R737110
R627798,R413770
R416915,R203379
R538648,R211723
R953234,R970084
R675742,R647146
R938442,R655144
R218334,R261995
R615383,R496735
R363176,R200555
R711959,R177050
R213562,R593671
R635869,R852101
R360137,R862414
R865047,R344290
R912211,R864919
R896522,R857290
R863950,R556512
R847147,R198430
R653115,R663178
R619211,R994239
R323732,R742221
R349834,R377159
R960460,R292521
R458387,R996180
R387706,R487257
R247484,R281044
R486797,R844925
R133220,R261054
R203989,R918374
R591065,R940777
R374724,R583697
R999774,R255197
R762730,R772428
R724278,R583449
R335542,R881313
R940291,R333053
R315585,R611407
R519986,R972125
R990514,R143658
R563564,R242898
R433363,R195764
R931463,R351753
R988031,R836810
R834601,R351899
R299962,R828369
R331635,R772142
R617239,R606978
R667453,R128373
R821547,R933878
R687074,R678046
R859211,R307625
R646970,R701101
R527561,R682268
R102203,R931825
R813000,R540007
R246122,R975557
R957198,R502933
R953732,R935674
R401243,R581776
R998933,R814596
R594038,R410554
R430171,R382151
R494262,R142038
R300880,R807107
R503438,R661234
R608088,R554571
R627418,R923883
R851920,R860698
R181225,R967884
R350142,R186823
R452062,R294604
R958456,R674284
R496789,R153415
R929697,R596584
R118460,R970310
R529809,R296791
R107839,R198979
R521349,R184468
R669455,R664910
R495093,R580006
R965424,R430452
R456740,R777683
R381178,R175737
R800171,R677276
R406348,R648426
R575582,R522730
R425149,R641662
R755053,R307764
R718690,R893971
R187678,R610233
R872522,R160042
R854463,R815419
R917739,R790908
R725291,R752956
R995603,R292234
R775150,R672595
R118337,R716347
R167200,R753743
R683963,R854846
R617550,R809362
R960535,R511796
R393378,R772046
R541288,R884683
R819241,R833232
R963832,R915505
R788885,R281127
R550653,R379645
R641612,R616535
R518554,R553886
R259140,R929257
R695588,R389639
R789463,R358264
R715613,R391011
R485680,R604458
R103736,R645495
R213279,R180514
R699343,R333207
R432587,R934019
R420544,R884790
R600114,R912516
R508950,R719065
R339700,R554901
R405767,R325947
R615388,R177937
R371892,R452114
R710784,R296515
R394252,R993369
R302024,R452598
R624112,R499309
R259601,R177827
R217945,R599661
R158680,R433358
R383058,R618015
R630405,R393969
R274959,R728348
R220005,R945515
R481762,R541575
R670286,R446456
R208527,R898467
R462117,R170328
R326727,R403684
R474690,R604269
R172334,R836534
R200480,R744062
R103276,R899227
R487096,R503549
R337559,R594682
R706498,R967576
R626766,R709486
R503490,R205013
R815066,R211977
R484434,R433804
R769040,R960791
R253070,R931329
R618554,R980656
R516359,R600739
R506781,R611924
R536099,R649694
R229040,R190924
R935284,R653087
R640149,R187978
R523250,R844103
R530996,R109623
R848409,R692603
R567617,R777317
R839433,R112969
R763530,R864596
R195466,R411399
R749731,R705510
R720266,R450819
R601493,R323560
R345980,R869703
R406216,R527093
R985046,R157321
R808781,R954835
R161340,R451343
R869424,R906712
R792381,R866140
R670763,R551330
R617451,R709416
R768589,R170215
R577150,R759409
R293762,R365157
R230761,R460059
R269360,R453810
R147825,R323927
R730900,R940989
R869906,R429545
R102954,R772561
R185484,R283784
R703448,R758325
R324753,R234123
R102901,R273879
R881779,R249253
R586131,R927026
R810624,R950949
R753285,R843886
R480876,R517870
R948331,R291327
R304597,R685540
R957224,R696806
R185532,R926059
R623827,R684691
R655098,R655819
R532395,R261743
R388233,R225736
R335820,R409950
R485887,R928375
R452385,R668594
R185299,R540956
R779852,R445622
R904006,R811728
R215862,R733469
R337203,R255326
R438589,R650267
R334667,R260681
R851567,R838122
R939568,R323382
R593294,R973283
R624921,R397224
R868003,R338445
R690507,R178142
R387190,R343729
R511540,R904071
R327325,R966666
R353116,R958332
R400031,R432651
R113707,R280527
R400225,R313707
R450530,R794570
R778980,R119199
R366623,R404212
R197118,R120545
R190212,R600673
R776664,R222552
R736190,R366028
R614600,R536448
R520891,R332045
R596826,R201845
R755938,R986633
R857622,R131319
R217541,R889326
R231102,R859868
R339958,R622453
R912928,R141851
R954824,R481674
R875373,R880285
R555118,R891922
R271123,R926967
R573378,R707021
R418577,R320371
R196476,R351546
R141702,R291275
R942865,R295628
R197403,R215348
R866417,R514957
R311851,R972755
R500096,R803997
R778558,R218021
R935427,R304630
R381736,R963383
R448852,R196453
R615012,R330948
R811133,R395724
R699359,R665411
R682542,R306922
R379679,R437513
R559423,R609965
R212759,R984131
R916023,R610723
R762990,R848603
R729549,R142947
R626474,R920900
R319189,R718783
R108430,R244391
R270331,R103760
R588410,R540607
R647320,R798989
R277577,R600808
R438805,R419908
R843319,R367905
R131150,R638211
R954200,R184896
R987332,R465373
R150895,R937450
R318841,R587600
R381078,R816079
R179444,R436021
R329314,R664247
R290628,R448885
R445747,R491122
R943361,R471923
R767704,R284681
R935925,R757860
R176124,R548971
R581616,R100881
R129231,R133811
R869640,R484414
R545329,R990415
R498646,R367949
R612254,R478535
R859795,R518179
R678407,R710546
R248551,R161075
R918783,R245284
R998526,R470958
R803295,R809619
R847852,R664423
R198343,R392635
R597269,R502348
R705652,R327142
R960515,R901861
R271960,R473840
R736012,R679164
R643585,R694540
R890190,R516369
R663529,R240891
R632023,R994486
R387235,R247563
R812718,R703563
R875081,R213556
R101561,R320525
R395288,R991274
R969525,R953173
R944264,R492013
R290187,R921746
R662103,R853655
R875617,R980006
R780152,R169092
R253570,R421831
R392039,R216007
R574235,R446942
R195232,R305789
R760012,R576956
R358459,R476654
R106444,R684197
R583787,R995711
R752323,R627169
R139373,R845806
R128447,R137554
R340561,R917835
R790079,R554713
R906604,R221653
R588289,R194146
R379900,R135272
R575178,R770935
R415902,R387120
R300520,R406875
R739904,R898638
R810527,R230387
R283730,R756596
R889790,R295624
R379836,R556490
R805560,R267565
R387633,R577831
R979534,R930262
R402593,R535669
R928943,R979136
R836635,R401774
R415128,R796807
R854557,R392924
R229479,R562413
R571099,R940912
R488101,R856237
R340660,R690234
R888079,R728470
R436151,R203808
R576044,R971780
R926104,R945393
R206842,R218472
R439537,R440756
R226784,R571929
R876580,R201723
R378983,R250357
R677612,R470037
R892651,R226328
R509942,R205949
R468722,R778641
R174024,R851074
R875716,R823364
R986682,R121910
R602304,R341949
R323631,R706366
R461953,R931045
R780085,R968939
R968194,R442598
R560714,R500028
R854583,R707548
R495987,R373801
R347979,R956458
R717457,R823950
R850416,R138198
R622570,R229708
R605250,R514573
R926235,R730502
R865281,R217390
R389113,R705986
R501159,R402420
R642162,R736029
R880708,R486590
R837069,R862378
R589949,R879937
R627495,R150867
R429104,R215320
R681175,R711790
R104733,R867098
R220879,R451915
R658343,R703678
R785645,R799524
R129494,R605872
R870629,R138136
R780020,R100205
R869477,R440325
R158645,R993322
R511610,R518819
R194514,R723843
R732604,R441961
R150287,R715655
R513312,R661873
R207108,R521890
R142282,R905229
R155723,R929624
R191605,R671504
R321035,R776307
R964632,R109634
R850502,R495742
R472158,R589948
R350019,R788694
R920508,R227630
R424406,R665166
R860971,R795300
R353788,R919487
R798373,R171758
R368834,R306536
R242573,R844073
R609813,R288969
R605000,R340132
R873503,R537646
R679604,R132963
R502135,R301091
R383510,R286616
R173065,R379844
R316495,R872302
R814632,R140057
R543526,R959687
R405257,R544915
R393146,R483761
R235370,R812608
R132140,R985751
R949302,R549762
R207788,R216368
R994472,R589771
R175510,R913622
R259771,R693550
R148352,R621172
R986854,R868057
R142738,R936123
R982506,R361948
R996923,R774243
R538443,R934331
R868623,R235808
R639698,R628201
R632074,R485003
R400448,R461216
R562329,R163320
R775378,R791217
R768977,R503225
R328385,R990328
R824974,R850765
R292987,R525060
R239967,R373736
R919127,R880707
R776732,R588081
R735878,R244346
R379638,R512505
R124046,R615362
R996307,R513076
R145767,R216565
R396255,R707178
R656556,R995611
R851130,R481945
R353708,R606029
R586882,R963281
R855039,R380400
R852940,R323070
R691677,R748380
R723446,R299803
R706286,R982370
R684901,R129918
R692185,R974627
R106776,R365928
R394389,R649299
R325520,R918523
R944791,R188165
R556304,R557247
R101222,R556629
R877323,R683512
R147464,R771785
R263627,R891254
R986543,R963009
R979572,R555964
R927075,R823085
R796995,R240453
R470026,R626346
R417345,R357270
R597611,R455031
R956721,R301370
R963572,R821109
R799102,R653897
R597948,R241268
R677873,R330823
R734265,R123532
R116010,R892837
R281609,R570624
R167763,R262244
R755286,R731837
R301046,R875076
R721858,R213169
R801898,R242681
R854385,R130192
R309254,R376508
R658770,R413899
R209500,R367979
R144262,R442712
R970228,R353647
R825184,R225084
R254949,R893302
R744293,R445762
R379219,R363910
R557495,R145269
R355223,R961449
R234402,R156926
R634445,R314096
R103949,R142105
R558243,R660959
R359925,R904581
R122426,R176741
R748879,R226395
R933798,R711104
R127721,R617000
R883363,R997284
R864965,R465254
R367310,R577123
R892542,R393262
R588322,R156265
R914362,R936631
R507432,R982552
R804887,R355501
R117654,R351832
R516111,R320255
R131292,R906388
R240260,R353176
R105373,R986064
R349111,R738025
R666651,R449876
R415606,R701263
R908708,R688538
R609942,R894228
R341095,R872287
R762689,R162912
R847976,R338539
R314949,R712834
R455191,R626336
R645276,R201591
R112467,R752312
R681232,R449329
R683559,R496965
R153349,R916469
R744105,R734377
R731263,R464068
R935002,R762203
R814468,R399457
R462799,R926726
R878130,R223323
R166326,R690245
R937151,R279137
R465487,R688256
R923932,R979458
R667718,R541087
R783384,R379530
R380369,R563222
R629108,R530680
R467025,R861674
R520083,R492741
R544098,R345882
R568495,R720714
R455038,R811543
R806172,R909407
R794141,R775500
R813390,R745567
R450292,R913785
R470397,R173538
R646300,R668725
R924228,R712089
R567944,R987806
R574022,R206140
R374946,R846580
R855827,R503705
R679354,R534319
R362670,R709381
R451763,R902654
R774401,R483306
R218592,R197093
R284741,R370217
R622680,R697904
R465292,R959704
R696682,R251091
R708424,R231509
R178109,R416841
R925617,R824674
R930312,R613962
R664510,R664463
R160223,R330194
R640202,R507476
R653194,R791229
R178982,R261794
R260626,R839011
R192731,R324020
R467732,R418858
R451880,R291002
R715947,R476400
R721523,R782381
R775019,R186691
R317826,R750706
R321200,R520511
R998285,R761203
R335052,R846789
R761025,R697823
R183854,R714332
R996315,R761086
R328922,R264263
R761248,R114324
R873429,R834619
R494296,R193215
R497834,R427435
R892738,R810565
R914579,R225650
R676061,R960209
R174303,R153816
R762864,R459708
R261416,R594494
R764855,R288880
R650071,R963142
R768225,R938298
R497082,R461690
R445068,R636499
R880519,R234113
R995710,R723701
R715447,R919089
R524067,R732408
R849339,R432011
R670924,R307582
R588580,R566871
R284269,R510003
R817781,R235362
R607810,R496561
R379260,R982356
R585014,R611744
R792424,R273837
R559920,R625301
R232737,R181792
R691626,R149360
R625738,R608691
R293205,R615935
R138110,R887613
R725804,R917636
R561199,R515450
R600009,R857950
R230977,R340873
